ID;Strecke;Netz;Kategorie;Specialcase;Uumzuleitenden Züge;Verspätungen = / > 5 Minuten;Zugausfälle;Zugvorplanfahrten;gesamte Veränderungen;abweichende / ausfallende Verkehrshalte;Zugbezogende Reglungen; örtliche Leistungen;KiGBAU;Maßnahmenart;Dauer in Tagen;Minuten
22886;104;Netz Ost;K1;1;0;0;0;0;0;0;0;0;1;B;2;14
22887;103;Netz Mitte;K1;1;0;1;2;0;3;0;0;1,5;1;A;2;171
22888;103;Netz Mitte;K1;1;0;4;0;0;4;0;0;2;1;A;6;155
22948;104;Netz Ost;K5;1;0;0;0;0;0;0;0;0;1;A;2;303
22973;145A;Netz Ost;K1;1;0;0;6;0;6;0;0;3;1;A;2;158
23001;103;Netz Mitte;K1;1;1;2;2;0;5;0;0;2,5;1;A;2;141
23001;130;Netz West;K1;1;0;0;0;0;0;0;0;0;0;A;2;6
23003;103;Netz Mitte;K1;1;0;0;2;0;2;0;0;1;1;A;1;153
23008;130;Netz West;K10;1;0;336;509;0;845;0;0;422,5;1;A;19;696
23009;130;Netz West;K1;1;0;5;0;0;5;0;0;2,5;1;A;5;194
23010;130;Netz West;K1;1;0;1;0;0;1;0;0;0,5;1;A;2;59
23012;104;Netz Ost;K10;1;0;40;219;0;259;11;0;129,5;0;A;6;667
23013;134;Netz Nord;Ad-hoc, K1;1;0;0;1;0;1;0;0;0,5;1;F;1;196
23018;103/131;Netz Mitte;K1;1;0;1;0;0;1;0;0;0,5;1;B;1;129
23035;103;Netz Mitte;K1;1;0;0;0;0;0;0;0;0;1;A;2;54
23037;103;Netz Mitte;K1;1;0;4;2;0;6;0;0;3;1;A;2;166
23040;130;Netz West;K10;1;0;0;0;0;0;0;0;0;0;A;9;1269
23040;103/131;Netz Mitte;K1;1;0;0;0;0;0;0;0;0;0;A;9;42
23040;130;Netz West;K10;1;0;55;13;3;71;0;0;35,5;0;A;11;153
23040;103/131;Netz Mitte;K1;1;0;5;2;0;7;0;0;3,5;0;A;11;81
23041;104;Netz Ost;K1;1;0;10;0;0;10;0;0;5;1;A;6;53
23042;104;Netz Ost;K1;1;0;1;2;1;4;0;0;2;1;A;10;191
23042;104;Netz Ost;K1;1;0;0;0;0;0;0;0;0;0;A;6;5
23044;134;Netz Nord;K1;1;0;0;2;0;2;0;0;1;1;B;2;159
23044;131;Netz Mitte;K1;1;0;1;0;0;1;0;0;0,5;0;B;2;124
23052;103;Netz Mitte;K1;1;0;0;0;0;0;0;10;5;1;A;2;10
23055;130;Netz West;K1;1;0;0;1;0;1;0;0;0,5;1;A;2;62
23077;103;Netz Mitte;K1;1;1;0;0;0;1;0;0;0,5;1;B;9;19
23127;130;Netz West;K10;1;0;63;89;3;155;0;0;77,5;0;A;7;279
23127;130;Netz West;K10;1;0;18;34;2;54;0;0;27;0;A;5;17
23142;145A;Netz Ost;K1;1;0;0;5;0;5;0;0;2,5;1;A;2;145
23156;103;Netz Mitte;K1;1;0;7;0;0;7;0;0;3,5;1;B;2;71
23157;103;Netz Mitte;K1;1;0;0;11;0;11;0;0;5,5;0;A;2;118
23157;130;Netz West;K10;1;0;0;3;0;3;0;0;1,5;0;A;2;1355
23173;104;Netz Ost;K1;1;0;6;0;0;6;0;0;3;1;B;3;47
23207;103;Netz Mitte;K1;1;0;0;0;0;0;0;0;0;1;B;3;13
23209;145A;Netz Ost;K1;1;0;0;4;0;4;0;0;2;1;A;2;108
